gene_symbol,correlation,abs_correlation,fdr,transcript_id
SLC7A7,-0.9695374886470228,0.9695374886470228,2.438884414656652e-07,ENST00000555959.1
CYP4B1,-0.963356433440674,0.963356433440674,6.287071616516564e-07,ENST00000371923.9
HSDL1,-0.9494407222791192,0.9494407222791192,7.218142309373903e-06,ENST00000434463.7
METTL4,-0.942451287442899,0.942451287442899,1.6920756628752115e-05,ENST00000574538.2
LRCH3,-0.9403840540220848,0.9403840540220848,1.8456029286398343e-05,ENST00000414675.6
SEMA4F,-0.9379057024552322,0.9379057024552322,2.189906945141118e-05,ENST00000446927.5
PGM5,-0.936833616457196,0.936833616457196,2.189906945141118e-05,ENST00000472639.1
CDH1,-0.9353383458646616,0.9353383458646616,2.352226409593755e-05,ENST00000261769.10
AP1M1,-0.931929362632786,0.931929362632786,3.2784024950001615e-05,ENST00000429941.6
CAPRIN1,-0.9298179410555444,0.9298179410555444,3.8539170371153795e-05,ENST00000389645.7
CD38,-0.9278195488721804,0.9278195488721804,4.4774544710158525e-05,ENST00000226279.8
GRAMD2A,-0.925784142488121,0.925784142488121,4.829389359475664e-05,ENST00000309731.12
KIF23,-0.9233082706766916,0.9233082706766916,5.562237606653599e-05,ENST00000260363.9
RAD50,-0.9227537524963432,0.9227537524963432,5.562237606653599e-05,ENST00000434288.1
RHNO1,-0.9172628241851396,0.9172628241851396,9.515896083475474e-05,ENST00000461997.5
NAP1L4,-0.9166929725127876,0.9166929725127876,9.539635649737076e-05,ENST00000526115.5
GALNT15,-0.9156636890153328,0.9156636890153328,0.0001005495023408,ENST00000339732.10
CENPI,-0.9138774621459524,0.9138774621459524,0.0001091286524628,ENST00000423383.3
NLRP2,-0.912781954887218,0.912781954887218,0.0001102386789952,ENST00000543010.5
CPSF6,-0.9121473875251208,0.9121473875251208,0.0001102386789952,ENST00000266679.8
VPS33B,-0.9119756763853633,0.9119756763853633,0.0001102386789952,ENST00000333371.8
TRBVB,-0.9112537497908024,0.9112537497908024,0.0001102386789952,ENST00000477100.1
SIMC1,-0.911145611602428,0.911145611602428,0.0001102386789952,ENST00000443967.5
NCK2,-0.9108688120648136,0.9108688120648136,0.0001102386789952,ENST00000233154.9
PHKA2,-0.9101951598319696,0.9101951598319696,0.0001136136527192,ENST00000481718.1
FAM118A,-0.9097744360902256,0.9097744360902256,0.0001143648676478,ENST00000441876.7
NLRP9,-0.9082706766917292,0.9082706766917292,0.0001225569412848,ENST00000332836.7
LIPG,-0.9081335599938252,0.9081335599938252,0.0001225569412848,ENST00000580036.5
KRT7,-0.9080441023340324,0.9080441023340324,0.0001225569412848,ENST00000331817.6
TIAM1,-0.907176270412958,0.907176270412958,0.0001261595128552,ENST00000491927.1
ZBTB33,-0.9067669172932332,0.9067669172932332,0.0001261595128552,ENST00000557385.2
CERS3,-0.9067472700065304,0.9067472700065304,0.0001261595128552,ENST00000559023.5
GGA3,-0.9065076486921814,0.9065076486921814,0.0001261595128552,ENST00000579743.2
UNC13C,-0.9052631578947368,0.9052631578947368,0.0001377204813453,ENST00000260323.16
KCNIP4,-0.9049121033486994,0.9049121033486994,0.0001385489156855,ENST00000382149.9
VPS37A,-0.9034347414084792,0.9034347414084792,0.000154334514609,ENST00000520997.1
BTRC,-0.9022556390977444,0.9022556390977444,0.0001672073311514,ENST00000393441.8
STAT1,-0.9011384915749352,0.9011384915749352,0.0001800480836342,ENST00000361099.8
UBA5,-0.900751879699248,0.900751879699248,0.000181883973628,ENST00000468227.5
PLAA,-0.9003385367808272,0.9003385367808272,0.0001842386765147,ENST00000520884.5
COCH,-0.8990974051680157,0.8990974051680157,0.0001962632002772,ENST00000216361.9
PSMG2,-0.8988743245106766,0.8988743245106766,0.0001962632002772,ENST00000586587.1
SLC25A46,-0.8988342117402577,0.8988342117402577,0.0001962632002772,ENST00000447245.6
VN1R32P,-0.8973552126928012,0.8973552126928012,0.0002137853595032,ENST00000452234.1
NKIRAS1,-0.8973298866996883,0.8973298866996883,0.0002137853595032,ENST00000443659.6
PDHA1,-0.8964394638404679,0.8964394638404679,0.0002212069024969,ENST00000355808.10
C6orf89,-0.8960853535594128,0.8960853535594128,0.0002212069024969,ENST00000355190.7
COPS3,-0.8958255616591189,0.8958255616591189,0.0002212069024969,ENST00000584216.5
CLEC16A,-0.8958255616591189,0.8958255616591189,0.0002212069024969,ENST00000409552.4
ZNF223,-0.8957524731992234,0.8957524731992234,0.0002212069024969,ENST00000588518.1
TCF20,-0.895100712736912,0.895100712736912,0.0002291529327083,ENST00000677622.1
