Gene.name	Row.names	logFC	logCPM	F	PValue	FDR	11VG	37VG	38VG	50VG	54VG	55VG	12MII	16MII	53MII	7MII	13MII	17MII	85MII
CNN3	ENSG00000117519	2.617014174	10.76021877	56.33949136	1.47E-07	0.001079778	8.432625199	8.165976307	8.712435893	9.624128634	8.56494593	8.585789086	10.69363931	12.03068348	11.98076715	10.75997969	11.14231007	11.32558912	11.09939365
ATG7	ENSG00000197548	-3.413124165	6.407664855	56.16723563	1.65E-07	0.001079778	7.362257185	7.250901639	7.333055016	7.038944052	7.680746603	8.746304362	4.293476259	4.264615423	4.862187143	2.132689961	3.892614874	4.689453715	4.570826717
MED30	ENSG00000164758	4.159971765	6.752211506	54.74633109	2.02E-07	0.001079778	2.723324125	4.31802125	3.470103547	3.300905005	2.154307582	2.894451388	6.903599403	5.663841696	7.847784775	7.871104012	7.331636006	7.280265667	8.120749954
ZFAND2A	ENSG00000178381	-4.117575667	10.30141963	51.94974681	3.07E-07	0.001079778	11.8498329	10.8393458	11.37331937	11.36849367	11.65907293	12.51884117	6.751657346	6.443802233	7.600709553	7.639182481	7.715673803	8.334394195	7.769755407
HDC	ENSG00000140287	-3.856852776	7.547193654	51.34036019	3.37E-07	0.001079778	8.892996853	9.155914425	8.015074325	9.152115036	8.690077077	8.728378803	5.114423977	4.681651257	4.172336371	2.997049852	4.952554498	5.421178907	5.872332708
ASTN2	ENSG00000148219	-3.059091838	6.173694947	49.39653006	4.56E-07	0.001079778	7.802175235	7.67201583	6.474840009	7.482939297	7.238473825	6.760685277	4.309819532	4.612772453	2.707826724	4.3068607	4.387670604	4.749397823	3.968369766
TMEM128	ENSG00000132406	4.20446484	7.656079589	49.31394704	4.62E-07	0.001079778	2.918020218	4.372340256	4.064514954	4.62621774	3.962342662	4.846494032	7.625732447	6.706622548	8.925837898	9.862679454	7.417776086	8.354178889	7.824376975
OSER1	ENSG00000132823	-3.759963239	5.969146814	48.54851872	5.22E-07	0.001079778	6.849742662	7.071839078	6.998911055	7.271340579	7.32877231	7.937555918	3.735760157	2.930638838	4.415926243	3.654845758	2.929205464	3.689415197	2.543116213
ZNF738	ENSG00000172687	2.949225952	7.502776639	43.90659946	1.12E-06	0.002036836	4.983721753	5.560789144	5.651979799	5.372919835	5.103965062	4.485328164	7.842036446	8.963446154	8.250393752	8.496355343	8.435043852	7.94887484	5.857077288
TIFA	ENSG00000145365	2.01651069	7.242025491	42.71618242	1.29E-06	0.002036836	5.682935649	5.631022822	5.663512928	6.332779162	5.899787192	5.879219428	7.715655726	8.247838974	7.533090598	8.467727593	7.718591898	8.129313273	6.785345036
