"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ENSG00000117519"	-2.69893111082228	10.2071074172392	-9.33158532819404	5.47364968033001e-09	8.67737683822717e-05	10.8236807005946
"ENSG00000138030"	6.34459476453109	2.14661945784874	8.47939266273269	2.79128235834163e-08	0.00016285208921551	8.44546686628108
"ENSG00000140368"	6.25868939485634	2.98798436404245	8.18753876019089	4.98347189128509e-08	0.00016285208921551	8.13505005239377
"ENSG00000206408"	7.27097142114304	-1.95419367686125	8.16214711657569	5.24401885067367e-08	0.00016285208921551	7.2343730633039
"ENSG00000228605"	7.27097142114304	-1.95419367686125	8.16214711657569	5.24401885067367e-08	0.00016285208921551	7.2343730633039
"ENSG00000178381"	4.04852805178438	8.87333249152552	8.08192523393677	6.16358124830037e-08	0.00016285208921551	8.44682729611481
"ENSG00000197548"	3.27280810679991	5.37030899216106	7.63331866644197	1.54563539814725e-07	0.000350042256668976	7.52008807207073
"ENSG00000136197"	6.97243383474164	0.644269374139804	7.37763239665207	2.64191908604644e-07	0.000483992981843719	6.3693871782447
"ENSG00000164366"	3.41856658585647	3.98035197001057	7.35756920624868	2.75644235528989e-07	0.000483992981843719	6.82753157306438
"ENSG00000140287"	3.867336990602	6.28153346994326	7.30936043968184	3.05300562570945e-07	0.000483992981843719	6.91034641615021
"ENSG00000141570"	6.13207309500293	-0.482200926586099	7.16665365939639	4.13892091294725e-07	0.00058706128128618	5.79150028317266
"ENSG00000145604"	-2.33655056854459	11.0572683421845	-7.1335064205636	4.4437869018067e-07	0.00058706128128618	6.45229311897067
"ENSG00000145365"	-2.03776562630228	7.05970514330894	-7.04627975698406	5.36142150774033e-07	0.000623509547610734	6.35594659610061
"ENSG00000100294"	6.29171884487894	1.14472615381168	7.02244691050213	5.64457942371286e-07	0.000623509547610734	5.81272977110415
"ENSG00000070985"	6.31592448034191	0.65678060956333	6.97483543672582	6.25722305809489e-07	0.000623509547610734	5.62944772122636
"ENSG00000121690"	-2.44892238341661	10.0624387644093	-6.97221152461543	6.29291160144562e-07	0.000623509547610734	6.12508670296886
"ENSG00000166133"	6.57740904786502	1.48136657608763	6.9320249684467	6.86641535454495e-07	0.000640313427150595	5.70604865120402
"ENSG00000169220"	7.758041923776	1.19188393681574	6.88506020909776	7.60526361271849e-07	0.000651972394304286	5.52998936983361
"ENSG00000256294"	4.37246813852255	2.17069661482692	6.85593242997911	8.10409813560503e-07	0.000651972394304286	5.63093987019948
"ENSG00000132823"	3.75456949182849	4.71502673721671	6.83235882346344	8.53236407680821e-07	0.000651972394304286	5.87472657924873
"ENSG00000236782"	4.02225891168942	3.66559201913931	6.79375762517874	9.28451063389038e-07	0.000651972394304286	5.6938164603745
"ENSG00000140941"	-1.845208441906	8.125970203429	-6.78730000238952	9.41683770394169e-07	0.000651972394304286	5.77117748253144
"ENSG00000148219"	2.78481163870977	5.46328685366133	6.78526165095522	9.45900780230782e-07	0.000651972394304286	5.82276583816422
"ENSG00000180104"	4.29736748195458	1.57446369127498	6.74841649463696	1.02556305704756e-06	0.000677427130973956	5.33179735962346
"ENSG00000105793"	2.15250812954515	7.50776940847783	6.70228838513327	1.13510061867653e-06	0.000719790004315163	5.60780293501732
"ENSG00000196793"	7.36610021597209	-0.00589968547660564	6.64187072735351	1.29699794301716e-06	0.000758198093491716	4.99952439526282
"ENSG00000148291"	5.48425566529624	0.84015004594461	6.62485860097648	1.34673031711268e-06	0.000758198093491716	5.05287778420888
"ENSG00000281024"	5.48425566529624	0.84015004594461	6.62485860097648	1.34673031711268e-06	0.000758198093491716	5.05287778420888
"ENSG00000180884"	5.79986116471652	-2.95426981222404	6.61155674042998	1.38697689467355e-06	0.000758198093491716	4.55975013009301
"ENSG00000146232"	7.12364654189709	-1.17306116941514	6.57866636907466	1.49187563642562e-06	0.000780698767939035	4.67688222682823
"ENSG00000243789"	5.9919443516688	1.81087741041493	6.56829062112801	1.52662977392986e-06	0.000780698767939035	5.04072453160927
"ENSG00000172006"	3.85074071322665	2.92432028514472	6.55106333744109	1.5861786884865e-06	0.000785802835893016	5.1126802267988
"ENSG00000136521"	2.28813062223244	6.76329524873749	6.51263229533738	1.7277611641266e-06	0.000830005991966636	5.21567271820089
"ENSG00000127955"	-2.12572291046848	7.99260618247041	-6.47179775511744	1.89245825901688e-06	0.000879514570978561	5.09095111540126
"ENSG00000153130"	-2.20301282210791	7.26279678768637	-6.4545417747948	1.96681591377971e-06	0.000879514570978561	5.07799916938251
"ENSG00000125826"	6.36182592151928	1.31024995288094	6.43758988730721	2.04278163751947e-06	0.000879514570978561	4.7623366424434
"ENSG00000233820"	6.32836620220617	1.23215642070846	6.43541636358341	2.05273696626549e-06	0.000879514570978561	4.71706574308454
"ENSG00000105251"	3.91371085057213	5.56417280808791	6.38016409693149	2.32322444186685e-06	0.000953268553029269	4.96630747436283
"ENSG00000114978"	-2.18556876237629	7.18632204764577	-6.37598040570204	2.34513805387886e-06	0.000953268553029269	4.91027071122754
"ENSG00000104221"	5.62792525608025	1.10524990273414	6.36204102922583	2.41969107802571e-06	0.00095898406649854	4.61901549459286
"ENSG00000118640"	6.0887263565631	0.0154486991988611	6.3465732234048	2.50526646751673e-06	0.000968682666086406	4.43647614332486
"ENSG00000013573"	4.45006898478186	2.42320752625223	6.28879292394738	2.85332284014598e-06	0.00102546705146034	4.58143260173416
"ENSG00000132406"	-4.0966463049123	6.65745990751022	-6.27118706880356	2.968937154856e-06	0.00102546705146034	4.72777655233582
"ENSG00000162385"	-2.71412417904792	7.83866044118488	-6.26821934488164	2.98889304533276e-06	0.00102546705146034	4.65053649045571
"ENSG00000122674"	-2.11961934013033	7.75783880142351	-6.24219571783414	3.16987546038357e-06	0.00102546705146034	4.59031710098663
"ENSG00000198668"	-2.08711988076678	10.1835158782098	-6.24206790526023	3.17079149718754e-06	0.00102546705146034	4.50988662602318
"ENSG00000284194"	5.43086792817016	0.634729178367716	6.22859236104396	3.26890769182173e-06	0.00102546705146034	4.28479094504883
"ENSG00000159720"	2.49256594679891	5.55508041621538	6.22858100564343	3.26899166866847e-06	0.00102546705146034	4.63913809583557
"ENSG00000085415"	-2.62367385191637	6.83572137120315	-6.21724978994625	3.35390005300669e-06	0.00102546705146034	4.58183902039993
"ENSG00000168517"	6.37503110558258	-0.29635337762273	6.21364238688411	3.38140256288123e-06	0.00102546705146034	4.1620916659178
"ENSG00000182481"	4.18335016992723	7.27168433462396	6.19643058888645	3.51583671860674e-06	0.00102546705146034	4.53220972933677
"ENSG00000102054"	-2.05188929777776	10.0622941467466	-6.19437957646482	3.53221700697649e-06	0.00102546705146034	4.40642766555896
"ENSG00000077152"	-2.51394609104248	8.0056005328893	-6.18905249695006	3.57512723699077e-06	0.00102546705146034	4.4630553468168
"ENSG00000178307"	5.40081800108331	3.76578857750852	6.18164616120838	3.63567420702839e-06	0.00102546705146034	4.44672964761852
"ENSG00000141562"	3.94782545807939	4.51972246865051	6.18079948621593	3.64266230523363e-06	0.00102546705146034	4.51021204831837
"ENSG00000173786"	2.70973868654498	3.65718608209799	6.17630764257465	3.67996663887076e-06	0.00102546705146034	4.46360458891883
"ENSG00000119703"	3.46102934112537	2.2700122619823	6.17545382412487	3.68710161693303e-06	0.00102546705146034	4.33198403492729
"ENSG00000167840"	5.78072556294595	2.10573342848016	6.16198594211885	3.80153812416887e-06	0.00103237205875193	4.28926895528759
"ENSG00000137880"	5.76473162690764	1.56012801158743	6.15303346143448	3.87961212886201e-06	0.00103237205875193	4.22607855719594
"ENSG00000066583"	-1.98063694361275	8.14964832351773	-6.14253319696517	3.97327814909733e-06	0.00103237205875193	4.35112573780095
"ENSG00000272617"	6.0375711808726	2.49394582680454	6.13657756220554	4.02742950927828e-06	0.00103237205875193	4.26213918549778
"ENSG00000100906"	-2.21397664013995	10.4706293926433	-6.13313427210812	4.05908131779293e-06	0.00103237205875193	4.25954226247363
"ENSG00000253649"	5.73949112996755	0.0577042511722719	6.12843836946547	4.10265815311747e-06	0.00103237205875193	3.93453148494646
"ENSG00000077463"	6.38246703203887	-0.315038639228768	6.11455109540658	4.23434998699241e-06	0.00104777966584386	3.94396121306783
"ENSG00000103051"	5.37855811464375	0.836179300219604	6.10819335229507	4.29607508230939e-06	0.00104777966584386	4.1066485972926
"ENSG00000267796"	6.20405803638043	-0.790585228208836	6.09187135402889	4.45878833857067e-06	0.00106385384170163	3.89638161496137
"ENSG00000073578"	3.90485708585962	4.48603209149512	6.08820501064673	4.49619676994947e-06	0.00106385384170163	4.30791074747545
"ENSG00000197889"	4.72610331436958	-3.43125471857926	6.06072247447025	4.78702367174872e-06	0.0010930351818096	3.55704714292934
"ENSG00000287725"	5.64212314288422	0.147704695120114	6.06023069165022	4.79239949217222e-06	0.0010930351818096	3.82380623575049
"ENSG00000130772"	3.40470927139947	0.946945094692483	6.04734735269368	4.93545157660625e-06	0.0010930351818096	3.92902215825964
